
Results_All_Set_Multipartite_DEG_Level
The matrix size 42 X 1856,classifier,tr_precision_avg_as,tr_precision_stdev_as,tr_recall_avg_as,tr_recall_stdev_as,tr_f1_avg_as,tr_f1_stdev_as,te_precision_avg_as,te_precision_stdev_as,te_recall_avg_as,te_recall_stdev_as,te_f1_avg_as,te_f1_stdev_as,Tf_CV_Avg_as,Tf_CV_stdev_as,au_ROC_avg_as,au_ROC_stdev_as,au_PR_avg_as,au_PR_stdev_as
0,LogR,1e+00,0.0,1.0,0.0,1.0,0.0,0.701,0.227,0.611,0.323,0.582,0.38,0.777,0.049,0.882,0.155,0.912,0.106
1,gNB,1.0,0.0,1.0,0.0,1.0,0.0,0.833,0.173,0.823,0.178,0.861,0.153,0.824,0.041,0.833,0.173,0.893,0.11
2,SVM,1.0,0.0,1.0,0.0,1.0,0.0,0.701,0.227,0.611,0.323,0.582,0.38,0.749,0.024,0.82,0.2,0.819,0.24
3,DT,1.0,0.0,1.0,0.0,1.0,0.0,0.694,0.204,0.607,0.287,0.648,0.345,0.674,0.106,0.694,0.204,0.829,0.108
4,RF,1.0,0.0,1.0,0.0,1.0,0.0,0.701,0.227,0.611,0.323,0.582,0.38,0.749,0.054,0.82,0.209,0.845,0.182
5,KNN,0.794,0.096,0.78,0.111,0.86,0.049,0.729,0.255,0.637,0.35,0.598,0.398,0.69,0.042,0.764,0.248,0.871,0.135
6,LDA,0.938,0.028,0.938,0.028,0.939,0.029,0.611,0.148,0.501,0.223,0.529,0.322,0.682,0.058,0.604,0.314,0.63,0.31
7,mNB,1.0,0.0,1.0,0.0,1.0,0.0,0.812,0.217,0.776,0.282,0.793,0.307,0.838,0.05,0.903,0.153,0.908,0.146
8,ABC,1.0,0.0,1.0,0.0,1.0,0.0,0.694,0.151,0.622,0.215,0.716,0.252,0.753,0.056,0.604,0.378,0.686,0.315
9,GBC,1.0,0.0,1.0,0.0,1.0,0.0,0.722,0.21,0.65,0.29,0.671,0.336,0.764,0.045,0.722,0.385,0.8,0.302
10,ETC,1.0,0.0,1.0,0.0,1.0,0.0,0.701,0.227,0.611,0.323,0.582,0.38,0.771,0.052,0.84,0.22,0.863,0.192
11,BC,0.995,0.012,0.995,0.012,0.996,0.011,0.701,0.227,0.611,0.323,0.582,0.38,0.736,0.035,0.729,0.337,0.791,0.297

No. of Top genes 200 DEG_Level

Final_Consistent_Genes_Multipartite_DEG_Level
,Feature
0,transcriptional regulator
1,chemotaxis protein
2,sugar ABC transporter permease
3,flagellar M-ring protein FliF
4,acetolactate synthase
5,PAS domain-containing protein
6,sugar ABC transporter substrate-binding protein
7,porin
8,cell envelope biogenesis protein TolA
9,hybrid sensor histidine kinase/response regulator
10,GntR family transcriptional regulator
11,chemotaxis protein CheD
12,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
13,short-chain dehydrogenase
14,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"

Intersection Multipartite DEG_Level

