
Results_All_Set_Multipartite_Gene_Level
The matrix size 42 X 56126,classifier,tr_precision_avg_as,tr_precision_stdev_as,tr_recall_avg_as,tr_recall_stdev_as,tr_f1_avg_as,tr_f1_stdev_as,te_precision_avg_as,te_precision_stdev_as,te_recall_avg_as,te_recall_stdev_as,te_f1_avg_as,te_f1_stdev_as,Tf_CV_Avg_as,Tf_CV_stdev_as,au_ROC_avg_as,au_ROC_stdev_as,au_PR_avg_as,au_PR_stdev_as
0,LogR,1e+00,0.0,1.0,0.0,1.0,0.0,0.688,0.22,0.588,0.307,0.565,0.365,0.777,0.056,0.806,0.267,0.792,0.278
1,gNB,1.0,0.0,1.0,0.0,1.0,0.0,0.688,0.234,0.616,0.29,0.648,0.333,0.812,0.069,0.688,0.234,0.765,0.286
2,SVM,1.0,0.0,1.0,0.0,1.0,0.0,0.701,0.227,0.611,0.323,0.582,0.38,0.777,0.049,0.861,0.155,0.78,0.269
3,DT,1.0,0.0,1.0,0.0,1.0,0.0,0.653,0.267,0.586,0.31,0.578,0.351,0.704,0.06,0.653,0.267,0.78,0.166
4,RF,1.0,0.0,1.0,0.0,1.0,0.0,0.66,0.179,0.562,0.27,0.548,0.342,0.738,0.057,0.861,0.155,0.792,0.269
5,KNN,0.953,0.042,0.952,0.043,0.954,0.042,0.785,0.205,0.743,0.268,0.793,0.294,0.789,0.048,0.764,0.335,0.776,0.308
6,LDA,0.723,0.035,0.723,0.034,0.726,0.036,0.59,0.152,0.507,0.199,0.526,0.259,0.665,0.035,0.82,0.213,0.77,0.27
7,mNB,1.0,0.0,1.0,0.0,1.0,0.0,0.646,0.253,0.598,0.289,0.642,0.345,0.786,0.051,0.771,0.139,0.728,0.241
8,ABC,1.0,0.0,1.0,0.0,1.0,0.0,0.701,0.245,0.643,0.296,0.655,0.342,0.774,0.07,0.68,0.442,0.728,0.375
9,GBC,1.0,0.0,1.0,0.0,1.0,0.0,0.68,0.228,0.608,0.289,0.604,0.33,0.718,0.061,0.806,0.193,0.849,0.133
10,ETC,1.0,0.0,1.0,0.0,1.0,0.0,0.688,0.22,0.588,0.307,0.565,0.365,0.759,0.054,0.93,0.12,0.9,0.204
11,BC,1.0,0.0,1.0,0.0,1.0,0.0,0.688,0.172,0.603,0.242,0.633,0.302,0.786,0.074,0.826,0.269,0.874,0.196

No. of Top genes 200 Gene_Level

Final_Consistent_Genes_Multipartite_Gene_Level
,Feature
0,"transposase, IS4 family"
1,MATE efflux family protein
2,dihydrodipicolinate synthase
3,metallo-beta-lactamase family protein
4,tRNA pseudouridine synthase A
5,"transcriptional regulator, AraC family"
6,dihydrodipicolinate reductase
7,glyoxalase family protein
8,"efflux transporter, RND family, MFP subunit"
9,OsmC-like protein
10,"transcriptional regulator, MarR family"
11,riboflavin biosynthesis protein RibF
12,tRNA pseudouridine synthase B
13,FeS assembly ATPase SufC
14,cyclic nucleotide-binding domain protein
15,cupin domain protein
16,FAD dependent oxidoreductase
17,"preprotein translocase, YajC subunit"
18,methionine gamma-lyase
19,Maf-like protein
20,enoyl-CoA hydratase/isomerase family protein
21,outer membrane efflux protein
22,"ABC transporter, permease protein"
23,"phosphate ABC transporter, permease protein PstA"
24,"phosphate ABC transporter, permease protein PstC"
25,thioesterase family protein
26,inorganic polyphosphate/ATP-NAD kinase
27,NAD-dependent deacetylase
28,segregation and condensation protein B
29,anthranilate synthase component I
30,"ABC transporter, ATP-binding protein"
31,"hydrolase, NUDIX family"
32,S1 RNA binding domain protein
33,nitroreductase family protein
34,universal stress family protein
35,translation elongation factor Ts
36,ribosome biogenesis GTP-binding protein YsxC
37,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
38,phage integrase
39,glyoxalase/bleomycin resistance protein/dioxygenase
40,segregation and condensation protein A
41,conserved domain protein
42,"hydrolase, alpha/beta fold family"
43,cytochrome P450 family protein
44,acyl-CoA dehydrogenase domain-containing protein
45,radical SAM domain protein
46,DNA-binding protein HU
47,Fe-S metabolism associated SufE
48,NmrA family protein

Intersection Multipartite Gene_Level

No. of top consistent gene 15,classifier,tr_precision_avg_is,tr_precision_stdev_is,tr_recall_avg_is,tr_recall_stdev_is,tr_f1_avg_is,tr_f1_stdev_is,te_precision_avg_is,te_precision_stdev_is,te_recall_avg_is,te_recall_stdev_is,te_f1_avg_is,te_f1_stdev_is,Tf_CV_Avg_is,Tf_CV_stdev_is,au_ROC_avg_is,au_ROC_stdev_is,au_PR_avg_is,au_PR_stdev_is
0,LogR,9.33e-01,0.024,0.933,0.023,0.934,0.024,0.882,0.122,0.87,0.129,0.91,0.072,0.858,0.029,0.972,0.068,0.985,0.038
1,gNB,0.971,0.019,0.971,0.018,0.974,0.016,0.771,0.229,0.705,0.309,0.696,0.354,0.818,0.099,0.84,0.201,0.902,0.122
