,Feature
0,transcriptional regulator
1,chemotaxis protein
2,sugar ABC transporter permease
3,flagellar M-ring protein FliF
4,acetolactate synthase
5,PAS domain-containing protein
6,sugar ABC transporter substrate-binding protein
7,porin
8,cell envelope biogenesis protein TolA
9,hybrid sensor histidine kinase/response regulator
10,GntR family transcriptional regulator
11,chemotaxis protein CheD
12,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
13,short-chain dehydrogenase
14,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
