,classifier,tr_precision_avg_is,tr_precision_stdev_is,tr_recall_avg_is,tr_recall_stdev_is,tr_f1_avg_is,tr_f1_stdev_is,te_precision_avg_is,te_precision_stdev_is,te_recall_avg_is,te_recall_stdev_is,te_f1_avg_is,te_f1_stdev_is,Tf_CV_Avg_is,Tf_CV_stdev_is,au_ROC_avg_is,au_ROC_stdev_is,au_PR_avg_is,au_PR_stdev_is
0,LogR,0.839,0.014,0.762,0.03,0.747,0.035,0.645,0.293,0.667,0.188,0.584,0.241,0.699,0.018,0.757,0.172,0.876,0.101
1,gNB,0.839,0.014,0.762,0.03,0.747,0.035,0.766,0.247,0.757,0.172,0.714,0.214,0.752,0.022,0.757,0.172,0.876,0.101
2,SVM,0.839,0.014,0.762,0.03,0.747,0.035,0.666,0.306,0.708,0.204,0.638,0.263,0.706,0.033,0.757,0.172,0.876,0.101
3,DT,0.839,0.014,0.762,0.03,0.747,0.035,0.62,0.265,0.618,0.122,0.528,0.175,0.65,0.018,0.618,0.122,0.808,0.077
4,RF,0.839,0.014,0.762,0.03,0.747,0.035,0.629,0.271,0.639,0.133,0.558,0.19,0.696,0.01,0.757,0.172,0.876,0.101
5,KNN,0.809,0.011,0.69,0.031,0.656,0.04,0.629,0.271,0.639,0.133,0.558,0.19,0.617,0.028,0.639,0.133,0.817,0.085
6,LDA,0.839,0.014,0.762,0.03,0.747,0.035,0.62,0.265,0.618,0.122,0.528,0.175,0.624,0.03,0.479,0.117,0.711,0.081
7,mNB,0.519,0.315,0.537,0.145,0.462,0.185,0.17,0.086,0.389,0.202,0.237,0.12,0.438,0.156,0.243,0.172,0.534,0.16
8,ABC,0.839,0.014,0.762,0.03,0.747,0.035,0.62,0.265,0.618,0.122,0.528,0.175,0.65,0.018,0.618,0.122,0.808,0.077
9,GBC,0.839,0.014,0.762,0.03,0.747,0.035,0.629,0.271,0.639,0.133,0.558,0.19,0.664,0.018,0.639,0.133,0.817,0.085
10,ETC,0.839,0.014,0.762,0.03,0.747,0.035,0.645,0.293,0.667,0.188,0.584,0.241,0.699,0.018,0.736,0.162,0.867,0.096
11,BC,0.839,0.014,0.762,0.03,0.747,0.035,0.62,0.265,0.618,0.122,0.528,0.175,0.652,0.01,0.688,0.19,0.842,0.112
