,classifier,tr_precision_avg_as,tr_precision_stdev_as,tr_recall_avg_as,tr_recall_stdev_as,tr_f1_avg_as,tr_f1_stdev_as,te_precision_avg_as,te_precision_stdev_as,te_recall_avg_as,te_recall_stdev_as,te_f1_avg_as,te_f1_stdev_as,Tf_CV_Avg_as,Tf_CV_stdev_as,au_ROC_avg_as,au_ROC_stdev_as,au_PR_avg_as,au_PR_stdev_as
0,LogR,1.0,0.0,1.0,0.0,1.0,0.0,0.688,0.22,0.588,0.307,0.565,0.365,0.777,0.056,0.806,0.267,0.792,0.278
1,gNB,1.0,0.0,1.0,0.0,1.0,0.0,0.688,0.234,0.616,0.29,0.648,0.333,0.812,0.069,0.688,0.234,0.765,0.286
2,SVM,1.0,0.0,1.0,0.0,1.0,0.0,0.701,0.227,0.611,0.323,0.582,0.38,0.777,0.049,0.861,0.155,0.78,0.269
3,DT,1.0,0.0,1.0,0.0,1.0,0.0,0.653,0.267,0.586,0.31,0.578,0.351,0.704,0.06,0.653,0.267,0.78,0.166
4,RF,1.0,0.0,1.0,0.0,1.0,0.0,0.66,0.179,0.562,0.27,0.548,0.342,0.738,0.057,0.861,0.155,0.792,0.269
5,KNN,0.953,0.042,0.952,0.043,0.954,0.042,0.785,0.205,0.743,0.268,0.793,0.294,0.789,0.048,0.764,0.335,0.776,0.308
6,LDA,0.723,0.035,0.723,0.034,0.726,0.036,0.59,0.152,0.507,0.199,0.526,0.259,0.665,0.035,0.82,0.213,0.77,0.27
7,mNB,1.0,0.0,1.0,0.0,1.0,0.0,0.646,0.253,0.598,0.289,0.642,0.345,0.786,0.051,0.771,0.139,0.728,0.241
8,ABC,1.0,0.0,1.0,0.0,1.0,0.0,0.701,0.245,0.643,0.296,0.655,0.342,0.774,0.07,0.68,0.442,0.728,0.375
9,GBC,1.0,0.0,1.0,0.0,1.0,0.0,0.68,0.228,0.608,0.289,0.604,0.33,0.718,0.061,0.806,0.193,0.849,0.133
10,ETC,1.0,0.0,1.0,0.0,1.0,0.0,0.688,0.22,0.588,0.307,0.565,0.365,0.759,0.054,0.93,0.12,0.9,0.204
11,BC,1.0,0.0,1.0,0.0,1.0,0.0,0.688,0.172,0.603,0.242,0.633,0.302,0.786,0.074,0.826,0.269,0.874,0.196
