,Feature
0,"transposase, IS4 family"
1,MATE efflux family protein
2,dihydrodipicolinate synthase
3,metallo-beta-lactamase family protein
4,tRNA pseudouridine synthase A
5,"transcriptional regulator, AraC family"
6,dihydrodipicolinate reductase
7,glyoxalase family protein
8,"efflux transporter, RND family, MFP subunit"
9,OsmC-like protein
10,"transcriptional regulator, MarR family"
11,riboflavin biosynthesis protein RibF
12,tRNA pseudouridine synthase B
13,FeS assembly ATPase SufC
14,cyclic nucleotide-binding domain protein
15,cupin domain protein
16,FAD dependent oxidoreductase
17,"preprotein translocase, YajC subunit"
18,methionine gamma-lyase
19,Maf-like protein
20,enoyl-CoA hydratase/isomerase family protein
21,outer membrane efflux protein
22,"ABC transporter, permease protein"
23,"phosphate ABC transporter, permease protein PstA"
24,"phosphate ABC transporter, permease protein PstC"
25,thioesterase family protein
26,inorganic polyphosphate/ATP-NAD kinase
27,NAD-dependent deacetylase
28,segregation and condensation protein B
29,anthranilate synthase component I
30,"ABC transporter, ATP-binding protein"
31,"hydrolase, NUDIX family"
32,S1 RNA binding domain protein
33,nitroreductase family protein
34,universal stress family protein
35,translation elongation factor Ts
36,ribosome biogenesis GTP-binding protein YsxC
37,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase
38,phage integrase
39,glyoxalase/bleomycin resistance protein/dioxygenase
40,segregation and condensation protein A
41,conserved domain protein
42,"hydrolase, alpha/beta fold family"
43,cytochrome P450 family protein
44,acyl-CoA dehydrogenase domain-containing protein
45,radical SAM domain protein
46,DNA-binding protein HU
47,Fe-S metabolism associated SufE
48,NmrA family protein
